source,target,weight
0,357,0.032523144
0,267,0.03136215
0,571,0.028670056
0,139,0.012114915
0,145,0.031075746
0,490,0.034445457
0,72,0.03238291
0,494,0.019728383
0,519,0.006909471
0,75,0.01728528
0,125,0.00604597
0,525,0.0053142626
0,262,0.009844805
0,404,0.016330225
0,362,0.015912341
0,246,0.005666649
0,46,0.005639031
0,721,0.035228454
0,1105,0.035228454
0,121,0.013172435
0,57,0.013219514
0,307,0.04439558
0,800,0.0056269397
0,897,0.015776224
1,616,0.054815546
1,1002,0.11686308
1,1135,0.062475476
1,906,0.051598314
1,714,0.022075705
1,275,0.03699099
1,191,0.036604453
1,223,0.2589294
1,297,0.258929
1,862,0.020281233
1,1110,0.024521878
1,592,0.0955401
1,682,0.02817387
1,384,0.062216338
1,652,0.09853545
1,337,0.044459946
1,520,0.04895419
1,1151,0.14627269
1,379,0.034607965
1,941,0.10751042
1,397,0.17285126
1,903,0.15248938
2,267,0.049955055
2,249,0.078381896
2,414,0.050837405
2,585,0.05695671
2,74,0.09442004
2,379,0.022381788
2,317,0.03795752
2,236,0.015990557
2,140,0.06525582
2,550,0.053026985
2,90,0.055416163
2,817,0.01427922
2,591,0.0149628455
2,1099,0.014162779
2,367,0.065325744
2,23,0.032113828
2,1072,0.014144531
2,134,0.015564333
2,445,0.032566123
2,44,0.041966096
2,56,0.06717466
2,244,0.10444355
2,271,0.017557006
2,574,0.07193304
3,170,0.012472506
3,48,0.006747771
3,344,0.011991816
3,208,0.008083812
3,547,0.022047065
3,29,0.012484129
3,336,0.026866456
3,228,0.03435949
3,117,0.00776398
3,268,0.019138161
3,330,0.015548223
3,701,0.0020219188
3,354,0.015022066
3,535,0.010609147
3,95,0.013309985
3,760,0.007363934
3,374,0.0135166105
3,214,0.051985603
3,113,0.015263091
3,554,0.07408772
3,77,0.018180037
3,115,0.018946711
3,122,0.013342355
3,133,0.011435393
3,169,0.022147613
3,365,0.087754495
3,422,0.01939201
3,514,0.0283142
3,549,0.01672223
